date,close,high,low,open,volume,ticker,sector
2020-01-02,72.33389282226562,72.39410082239243,71.09119881769524,71.34406947838406,135480400,AAPL,Technology
2020-01-03,71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800,AAPL,Technology
2020-01-06,72.2014389038086,72.23997291016137,70.5035760497976,70.75404341628553,118387200,AAPL,Technology
2020-01-07,71.86184692382812,72.46633010238772,71.64268897397623,72.21104883104543,108872000,AAPL,Technology
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,AAPL,Technology
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400,AAPL,Technology
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,AAPL,Technology
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,AAPL,Technology
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,AAPL,Technology
2020-01-15,74.98060607910156,75.98246770801262,74.54951490172726,75.10343270524221,121923600,AAPL,Technology
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,AAPL,Technology
2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400,AAPL,Technology
2020-01-21,76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200,AAPL,Technology
2020-01-22,76.51229858398438,77.06379835057774,76.41837061392836,76.72422448512405,101832400,AAPL,Technology
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000,AAPL,Technology
2020-01-24,76.65924072265625,77.86821483335261,76.46898136642295,77.1264554356686,146537600,AAPL,Technology
2020-01-27,74.4050521850586,75.08419286532549,73.4248641436704,74.67237218746828,161940000,AAPL,Technology
2020-01-28,76.5098876953125,76.68087628820244,75.18531223152581,75.28405419350632,162234000,AAPL,Technology
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,AAPL,Technology
2020-01-30,77.99825286865234,78.05123619869995,76.7651942962083,77.19628560206807,126743200,AAPL,Technology
2020-01-31,74.53990173339844,77.71165450707113,74.24608645041388,77.29019858022654,199588400,AAPL,Technology
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,AAPL,Technology
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,AAPL,Technology
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800,AAPL,Technology
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600,AAPL,Technology
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,AAPL,Technology
2020-02-10,77.62328338623047,77.62328338623047,75.76448107418051,75.84414097834794,109348800,AAPL,Technology
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,AAPL,Technology
2020-02-12,78.98723602294922,78.99206144129231,77.60399117788235,77.60399117788235,113730400,AAPL,Technology
2020-02-13,78.42473602294922,78.75063214721084,78.05780543857192,78.26058344838953,94747600,AAPL,Technology
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,AAPL,Technology
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200,AAPL,Technology
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,AAPL,Technology
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000,AAPL,Technology
2020-02-21,75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000,AAPL,Technology
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200,AAPL,Technology
2020-02-25,69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600,AAPL,Technology
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,AAPL,Technology
2020-02-27,66.0286865234375,69.04140503149553,65.89350114490772,67.85852928583456,320605600,AAPL,Technology
2020-02-28,65.99005889892578,67.20915102510166,61.88861568726967,62.103468343907636,426510000,AAPL,Technology
2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200,AAPL,Technology
2020-03-03,69.8428726196289,73.38667475068135,68.99312746023453,73.30701482551375,319475600,AAPL,Technology
2020-03-04,73.08248901367188,73.24181619852034,70.76260504877715,71.56164999828624,219178400,AAPL,Technology
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,AAPL,Technology
2020-03-06,69.77284240722656,70.20495666747604,67.88989834828591,68.07577636210152,226176800,AAPL,Technology
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,AAPL,Technology
2020-03-10,68.88204956054688,69.14759479048914,65.02683672783965,66.90254597753136,285290000,AAPL,Technology
2020-03-11,66.48975372314453,67.88748182990133,65.62794159632746,66.96290981260235,255598800,AAPL,Technology
2020-03-12,59.9235954284668,65.17895115078981,59.86807364961435,61.78481820985721,418474000,AAPL,Technology
