Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.5287723785166241,0.5295282085120422,0.9709618874773139,0.6853116994022204,0.5093941165010715
Random Forest,0.5351662404092071,0.534608695652174,0.9298245614035088,0.678886925795053,0.5178783311288155
XGBoost,0.5063938618925832,0.5274836106908725,0.632788868723533,0.5753575357535754,0.4949624206629959
